Species	X100E.0N	X100E.100N	X100E.150N	X100E.200N	X100E.250N	X100E.300N	X100E.350.N	X100E.50N	X150E.0N	X150E100N	X150E.150N	X150E.200N	X150E.250N	X150E.300N	X150E.350N	X150E.50N	X200E.0N	X200E.100N	X200E.150N	X200E.200N	X200E.250N	X200E.300N	X200E.350N	X200E.50N	X250E.0N	X250E.100N	X250E.150N	X250E.200N	X250E.250N	X250E.300N	X250E.350N	X250E.50N	X300E.0N	X300E.100N	X300E.150N	X300E.200N	X300E.250N	X300E.300N	X300E.350N	X300E.50N	X350E.0N	X350E.100N	X350E.150N	X350E.200N	X350E.250N	X350E.300N	X350E.350N	X350E.50N	X400E.100N	X400E.150N	X400E.200N	X400E.250N	X400E.300N	X400E.350N	X400E.50N	X450E.100N	X450E.150N	X450E.200N	X450E.250N	X450E.300N	X450E.350N	X450E.50N	X50E.0N	X50E.100N	X50E.150N	X50E.200N	X50E.50N
A.saccharum	11	4	12	1	3	2	4	2	4	9	12	6	8	7	42	2	12	15	9	9	8	7	16	20	10	4	11	12	8	12	7	8	10	19	5	13	6	2	7	22	20	12	16	17	27	21	6	20	13	20	17	20	13	8	16	20	16	10	18	31	13	23	2	2	3	1	2
F.grandifolia	0	4	3	3	4	10	16	0	0	27	10	0	4	6	7	1	0	27	19	2	3	5	5	3	6	7	20	1	2	4	13	6	29	2	14	0	0	1	7	12	4	3	2	0	0	1	5	6	11	4	1	0	1	2	2	1	15	1	0	2	9	3	0	0	13	14	0
F.americana	0	0	4	0	0	5	0	1	0	0	1	0	1	0	0	1	5	7	0	5	0	0	0	1	2	3	1	0	0	0	0	1	0	0	1	4	0	6	1	0	0	0	1	1	2	0	2	1	2	1	0	0	1	3	0	6	6	0	2	6	2	0	0	0	1	0	0
P.serotina	2	2	0	1	4	1	2	6	6	1	5	0	1	0	4	8	3	1	3	10	1	1	4	3	3	0	2	2	6	0	1	2	6	0	2	0	0	0	1	1	1	1	2	0	1	3	1	6	0	7	3	1	4	2	3	1	4	6	7	2	3	7	1	3	0	2	2
Ulmus	0	6	2	0	3	2	0	0	0	0	0	12	1	0	2	0	1	2	6	0	0	0	0	0	0	12	8	0	0	4	1	7	0	5	4	1	2	0	0	0	0	9	1	0	0	7	2	7	3	3	0	0	1	0	0	4	2	0	0	3	5	0	0	0	0	0	0
C.ovata	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	2	0	0	0	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
C.cordiformis	0	1	3	0	0	0	0	1	3	2	8	1	1	0	0	3	4	0	3	0	0	0	0	5	7	3	1	0	0	0	1	2	2	2	0	1	0	0	1	2	1	1	0	1	0	0	0	0	0	3	7	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0
C.caroliniana	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	2	0	2	0	0	0	0	6	1	5	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
Q.rubra	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
L.tulipifera	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	10	0	1	0	0	2	2	3	0	1	0	0	2	0	1	1	0	0	1	0	2	1
